Date,Open,High,Low,Close,Adj Close**,Volume
13/04/1988,271.33,271.7,269.23,271.58,271.58,185120000.00
12/04/1988,269.88,272.05,269.66,271.37,271.37,146400000.00
11/04/1988,269.43,270.41,268.61,270.16,270.16,146370000.00
08/04/1988,266.15,270.22,266.11,269.43,269.43,169300000.00
07/04/1988,265.51,267.32,265.22,266.16,266.16,177840000.00
06/04/1988,258.52,265.5,258.22,265.49,265.49,189760000.00
05/04/1988,256.1,258.52,256.03,258.51,258.51,135290000.00
04/04/1988,258.89,259.06,255.68,256.09,256.09,182240000.00
31/03/1988,258.03,259.03,256.16,258.89,258.89,139870000.00
30/03/1988,260.06,261.59,257.92,258.07,258.07,151810000.00
29/03/1988,258.11,260.86,258.06,260.07,260.07,152690000.00
28/03/1988,258.5,258.51,256.07,258.06,258.06,142820000.00
25/03/1988,263.34,263.44,258.12,258.51,258.51,163170000.00
24/03/1988,268.91,268.91,262.48,263.35,263.35,184910000.00
23/03/1988,268.81,269.79,268.01,268.91,268.91,167370000.00
22/03/1988,268.73,269.61,267.9,268.84,268.84,142000000.00
21/03/1988,271.1,271.12,267.42,268.74,268.74,128830000.00
18/03/1988,271.22,272.64,269.76,271.12,271.12,245750000.00
17/03/1988,268.66,271.22,268.65,271.22,271.22,211920000.00
16/03/1988,266.11,268.68,264.81,268.65,268.65,153590000.00
15/03/1988,266.34,266.41,264.92,266.13,266.13,133170000.00
14/03/1988,264.93,266.55,264.52,266.37,266.37,131890000.00
11/03/1988,263.85,264.94,261.27,264.94,264.94,200020000.00
10/03/1988,269.07,269.35,263.8,263.84,263.84,197260000.00
09/03/1988,269.46,270.76,268.65,269.06,269.06,210900000.00
08/03/1988,267.38,270.06,267.38,269.43,269.43,237680000.00
07/03/1988,267.28,267.69,265.94,267.38,267.38,152980000.00
04/03/1988,267.87,268.4,264.72,267.3,267.3,201410000.00
03/03/1988,267.98,268.4,266.82,267.88,267.88,203310000.00
02/03/1988,267.23,268.75,267,267.98,267.98,199630000.00
01/03/1988,267.82,267.95,265.39,267.22,267.22,199990000.00
29/02/1988,262.46,267.82,262.46,267.82,267.82,236050000.00
26/02/1988,261.56,263,261.38,262.46,262.46,158060000.00
25/02/1988,264.39,267.75,261.05,261.58,261.58,213490000.00
24/02/1988,265.01,266.25,263.87,264.43,264.43,212730000.00
23/02/1988,265.62,266.12,263.11,265.02,265.02,192260000.00
22/02/1988,261.6,266.06,260.88,265.64,265.64,178930000.00
19/02/1988,257.9,261.61,257.62,261.61,261.61,180300000.00
18/02/1988,258.82,259.6,256.9,257.91,257.91,151430000.00
17/02/1988,259.94,261.47,257.83,259.21,259.21,176830000.00
16/02/1988,257.61,259.84,256.57,259.83,259.83,135380000.00
12/02/1988,255.95,258.86,255.85,257.63,257.63,177190000.00
11/02/1988,256.63,257.77,255.12,255.95,255.95,200760000.00
10/02/1988,251.74,256.92,251.72,256.66,256.66,187980000.00
09/02/1988,249.11,251.72,248.66,251.72,251.72,162350000.00
08/02/1988,250.95,250.96,247.82,249.1,249.1,168850000.00
05/02/1988,252.22,253.85,250.9,250.96,250.96,161310000.00
04/02/1988,252.2,253.03,250.34,252.21,252.21,186490000.00
03/02/1988,255.56,256.98,250.56,252.21,252.21,237270000.00
02/02/1988,255.05,256.08,252.8,255.57,255.57,164920000.00
01/02/1988,257.05,258.27,254.93,255.04,255.04,210660000.00
29/01/1988,253.31,257.07,252.7,257.07,257.07,211880000.00
28/01/1988,249.39,253.66,249.38,253.29,253.29,166430000.00
27/01/1988,249.58,253.02,248.5,249.38,249.38,176360000.00
26/01/1988,252.13,252.17,249.1,249.57,249.57,138380000.00
25/01/1988,246.53,252.87,246.5,252.17,252.17,275250000.00
22/01/1988,243.14,246.5,243.14,246.5,246.5,147050000.00
21/01/1988,242.65,244.25,240.17,243.14,243.14,158080000.00
20/01/1988,249.31,249.32,241.14,242.63,242.63,181660000.00
19/01/1988,251.84,253.33,248.75,249.32,249.32,153550000.00
18/01/1988,252.05,252.86,249.98,251.88,251.88,135100000.00
15/01/1988,246.02,253.65,245.88,252.05,252.05,197940000.00
14/01/1988,245.83,247,243.97,245.88,245.88,140570000.00
13/01/1988,245.41,249.25,241.41,245.81,245.81,154020000.00
12/01/1988,247.44,247.49,240.46,245.42,245.42,165730000.00
11/01/1988,243.38,247.51,241.07,247.49,247.49,158980000.00
08/01/1988,261.05,261.07,242.95,243.4,243.4,197300000.00
07/01/1988,258.87,261.32,256.18,261.07,261.07,175360000.00
06/01/1988,258.64,259.79,257.18,258.89,258.89,169730000.00
05/01/1988,255.95,261.78,255.95,258.63,258.63,209520000.00
04/01/1988,247.1,256.44,247.08,255.94,255.94,181810000.00
31/12/1987,247.84,247.86,245.22,247.08,247.08,170140000.00
30/12/1987,244.63,248.06,244.59,247.86,247.86,149230000.00
29/12/1987,245.58,245.88,244.28,244.59,244.59,111580000.00
28/12/1987,252.01,252.02,244.19,245.57,245.57,131220000.00
24/12/1987,253.13,253.16,251.68,252.03,252.03,108800000.00
23/12/1987,249.96,253.35,249.95,253.16,253.16,203110000.00
22/12/1987,249.56,249.97,247.01,249.95,249.95,192650000.00
21/12/1987,249.14,250.25,248.3,249.54,249.54,161790000.00
18/12/1987,243.01,249.18,243.01,249.16,249.16,276220000.00
17/12/1987,248.08,248.6,242.96,242.98,242.98,191780000.00
16/12/1987,242.81,248.11,242.8,248.08,248.08,193820000.00
15/12/1987,242.19,245.59,241.31,242.81,242.81,214970000.00
14/12/1987,235.3,242.34,235.04,242.19,242.19,187680000.00
11/12/1987,233.6,235.48,233.35,235.32,235.32,151680000.00
10/12/1987,238.89,240.05,233.4,233.57,233.57,188960000.00
09/12/1987,234.91,240.09,233.83,238.89,238.89,231430000.00
