DATE,SPCS20RSA
2000-01-01,100.58969691346701
2000-02-01,101.692479149781
2000-03-01,102.78382804195499
2000-04-01,103.996443815806
2000-05-01,105.252817714546
2000-06-01,106.40252273655099
2000-07-01,107.134019727144
2000-08-01,107.86143890567301
2000-09-01,108.610140181363
2000-10-01,109.48685887507798
2000-11-01,110.57170729589899
2000-12-01,111.80087232262899
2001-01-01,113.05349836201401
2001-02-01,114.126857792108
2001-03-01,115.08519512440701
2001-04-01,115.84054994486
2001-05-01,116.300741850656
2001-06-01,116.899748846361
2001-07-01,117.49660206909999
2001-08-01,118.245229730412
2001-09-01,119.027952840036
2001-10-01,119.694048205588
2001-11-01,120.274743495357
2001-12-01,120.672264382001
2002-01-01,121.36032071728
2002-02-01,122.19082053910601
2002-03-01,123.32147282678301
2002-04-01,124.50775439118
2002-05-01,125.92446603586001
2002-06-01,127.38847472078301
2002-07-01,128.879589965701
2002-08-01,130.307281999088
2002-09-01,131.526919568709
2002-10-01,132.846629750268
2002-11-01,134.096961922956
2002-12-01,135.405257660481
2003-01-01,136.466797964553
2003-02-01,137.452831892346
2003-03-01,138.37882913509702
2003-04-01,139.250038962136
2003-05-01,140.146998767269
2003-06-01,140.91971931039
2003-07-01,142.118879613718
2003-08-01,143.55184475132
2003-09-01,145.26126672456698
2003-10-01,146.990448556205
2003-11-01,148.822904704359
2003-12-01,150.758960016412
2004-01-01,152.625092699358
2004-02-01,154.536545543517
2004-03-01,156.918255244467
2004-04-01,159.359631574448
2004-05-01,161.7511711502
2004-06-01,164.305465147652
2004-07-01,166.387169800665
2004-08-01,168.0715669022
2004-09-01,169.654281269409
2004-10-01,171.29698002663602
2004-11-01,173.086843752257
2004-12-01,175.086058888909
2005-01-01,177.546089216129
2005-02-01,180.24953696268298
2005-03-01,183.18805401054902
2005-04-01,185.514758709367
2005-05-01,187.549790403725
2005-06-01,189.530331097377
2005-07-01,191.379234809114
2005-08-01,193.36747113431198
2005-09-01,195.620039492754
2005-10-01,197.88290139717202
